LONGITUDE,LATITUDE,PB206_PB204,PB207_PB204,PB208_PB204
36.598,-32.3453,18.5821,15.60075,38.79575
97.1255,-32.2324,18.051,15.6075,38.875
97.1282,-32.2266,18.09733333,15.606,38.804
33.5508,-31.7583,18.0268,15.5701,38.4541
57.74,-31.73,17.496,15.4134,37.2152
57.842,-31.693,17.554,15.433,37.289
57.97,-31.69,17.5354,15.4181,37.2715
52.3018,-31.5337,18.14225,15.53875,37.8155
35.294,-31.463,18.6928,15.6514,38.6856
93.7066,-31.265,18.128,15.513,38.453
76.5,-31.26,17.884,15.467,37.726
93.7016,-31.2416,18.24133333,15.55166667,38.83333333
58.61,-31.19,17.429,15.3963,37.1141
36.69,-31.1237,18.6691,15.6386,38.6807
59.11,-31.09,17.558,15.49,37.363
59.121,-31.038,17.404,15.398,37.0847
108.35,-30.986,18.32333333,15.484,37.61
87.8953,-30.9692,18.23966667,15.535,38.64433333
59.16,-30.92,17.3631,15.3923,37.0698
59.34,-30.91,17.4224,15.4013,37.1104
36.7127,-30.7715,18.709,15.6475,38.6983
59.56,-30.66,17.432,15.4014,37.1355
36.903,-30.5833,16.0455,15.2977,36.697
59.91,-30.52,17.4018,15.4006,37.1097
60.16,-30.44,17.4052,15.3976,37.0816
75.76,-30.33,17.944,15.4855,37.779
60.49,-30.27,17.4498,15.4023,37.1346
36.077,-29.9498,17.95975,15.53975,38.32775
75.191,-29.7,17.8085,15.444,37.7075
112.696,-29.6175,18.42,15.629,38.375
37.4748,-29.5298,18.4435,15.6375,38.902
61.32,-28.95,17.67985,15.42965,37.536
61.44,-28.95,17.74805,15.43185,37.58965
61.64,-28.94,17.9282,15.4535,37.7838
74.67,-28.9,17.925,15.509,37.822
61.9,-28.85,17.846,15.439,37.727
61.93,-28.8,17.98096667,15.48246667,37.93473333
62.033,-28.74,18.362,15.612,38.107
62.36,-28.54,17.768,15.442,37.544
63.36,-28.11,17.9,15.46,37.73
63.66,-27.98,18.029,15.4682,37.84765
64.63,-27.96,17.69,15.44,37.55
63.75,-27.86,17.79883333,15.43123333,37.6574
63.91,-27.85,17.8044,15.436075,37.648375
63.94,-27.85,17.793,15.424,37.612
63.938,-27.845,17.7921,15.4389,37.6525
63.94,-27.84,18.001,15.615,38.067
65.42,-27.78,17.8103,15.44956667,37.75263333
65.35,-27.74,17.88907143,15.45495714,37.80765714
65.53,-27.63,18.03415,15.49801667,38.14446667
65.83,-27.6,17.86366667,15.48866667,37.718
65.98,-27.57,17.81913333,15.44896667,37.70613333
66.26,-27.44,17.91525,15.4567,37.83525
66.429,-27.403,17.83,15.45,37.74
66.64,-27.36,18.07175,15.48155,38.07795
87.597,-27.355,18.70737143,15.55312857,39.00351429
87.598,-27.354,18.6698,15.54683333,38.97903333
66.34,-27.34,17.7789,15.442125,37.693175
67.23,-26.98,17.8906,15.4585,37.8276
72.24,-26.92,17.635,15.457,37.493
72.242,-26.917,17.694,15.4515,37.678
67.52,-26.62,17.978,15.461,37.797
71.925,-26.521,17.5805,15.433,37.495
67.979,-26.488,17.9731,15.458,37.8186
68.44,-26.23,17.9861,15.45755,37.8002
68.73,-26.09,18.1441,15.4691,37.9934
70.323,-25.864,17.80833333,15.45233333,37.572
70.183,-25.78,17.565,15.4885,37.5765
70.054,-25.66,17.44,15.443,37.4
69.94,-25.61,17.477,15.455,37.47
70.026,-25.57,17.488,15.455,37.5
70.064,-25.385,17.334,15.46,37.36
69.9913,-25.367,17.6706,15.4698,37.599
69.99,-24.98,17.315,15.443,37.251
70.012,-24.98,17.319,15.481,37.26266667
79.02,-24.98,17.315,15.443,37.251
65.98,-24.9,18.026,15.437,37.895
87.3662,-24.8775,18.609,15.57033333,38.63933333
70.045,-24.675,17.884,15.563,37.838
